13/3/2018 11:59:19 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:19 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:19 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:20 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:20 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:20 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:21 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:21 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:22 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:22 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:22 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:23 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:23 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:24 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:24 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:24 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:24 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:28 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:28 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:28 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:29 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:29 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:29 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:30 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:30 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:30 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:31 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:31 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:31 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:32 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:32 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:32 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:32 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:33 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:33 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:33 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:33 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:34 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:34 a. m.;0,9244131;0,6562774;PR2
13/3/2018 11:59:34 a. m.;0,9244131;0,6562774;PR2
